"sexo","salario_anual","_col2"
"M","$60K - $80K","451"
"M","$80K - $120K","488"
"F","menos que $40K","597"
"M","$120K +","222"
"F","$40K - $60K","193"
"M","$40K - $60K","274"
"M","menos que $40K","104"
